Precision,Recall
0.98,0.0833333
0.980392,0.0833333
0.980769,0.0833333
0.981132,0.0833333
0.981481,0.0833333
0.981818,0.0833333
0.982143,0.0833333
0.982456,0.0833333
0.982759,0.0833333
0.983051,0.0833333
0.983333,0.0833333
0.983607,0.0833333
0.967742,0.166667
0.968254,0.166667
0.96875,0.166667
0.969231,0.166667
0.969697,0.166667
0.970149,0.166667
0.970588,0.166667
0.971014,0.166667
0.971429,0.166667
0.971831,0.166667
0.972222,0.166667
0.958904,0.25
0.959459,0.25
0.96,0.25
0.960526,0.25
0.961039,0.25
0.961538,0.25
0.949367,0.333333
0.95,0.333333
0.950617,0.333333
0.939024,0.416667
0.939759,0.416667
0.928571,0.5
0.929412,0.5
0.930233,0.5
0.931034,0.5
0.931818,0.5
0.932584,0.5
0.933333,0.5
0.934066,0.5
0.934783,0.5
0.935484,0.5
0.93617,0.5
0.926316,0.583333
0.927083,0.583333
0.917526,0.666667
0.918367,0.666667
0.909091,0.75
0.9,0.833333
0.90099,0.833333
0.901961,0.833333
0.902913,0.833333
0.894231,0.916667
0.895238,0.916667
0.896226,0.916667
0.88785,1
0.888889,1
0.889908,1
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
