Precision,Recall
0.977778,0.0833333
0.978261,0.0833333
0.978723,0.0833333
0.979167,0.0833333
0.979592,0.0833333
0.98,0.0833333
0.980392,0.0833333
0.980769,0.0833333
0.981132,0.0833333
0.981481,0.0833333
0.981818,0.0833333
0.982143,0.0833333
0.982456,0.0833333
0.982759,0.0833333
0.983051,0.0833333
0.983333,0.0833333
0.967213,0.166667
0.951613,0.25
0.936508,0.333333
0.9375,0.333333
0.938462,0.333333
0.939394,0.333333
0.940299,0.333333
0.941176,0.333333
0.927536,0.416667
0.928571,0.416667
0.929577,0.416667
0.916667,0.5
0.917808,0.5
0.918919,0.5
0.92,0.5
0.921053,0.5
0.922078,0.5
0.923077,0.5
0.924051,0.5
0.925,0.5
0.925926,0.5
0.926829,0.5
0.927711,0.5
0.916667,0.583333
0.917647,0.583333
0.918605,0.583333
0.91954,0.583333
0.920455,0.583333
0.910112,0.666667
0.9,0.75
0.901099,0.75
0.902174,0.75
0.903226,0.75
0.904255,0.75
0.905263,0.75
0.90625,0.75
0.907216,0.75
0.908163,0.75
0.909091,0.75
0.91,0.75
0.910891,0.75
0.911765,0.75
0.912621,0.75
0.913462,0.75
0.904762,0.833333
0.90566,0.833333
0.897196,0.916667
0.898148,0.916667
0.899083,0.916667
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
