Precision,Recall
0.985075,0.0833333
0.985294,0.0833333
0.971014,0.166667
0.971429,0.166667
0.971831,0.166667
0.972222,0.166667
0.972603,0.166667
0.959459,0.25
0.96,0.25
0.960526,0.25
0.961039,0.25
0.948718,0.333333
0.949367,0.333333
0.95,0.333333
0.950617,0.333333
0.939024,0.416667
0.939759,0.416667
0.940476,0.416667
0.941176,0.416667
0.94186,0.416667
0.942529,0.416667
0.931818,0.5
0.932584,0.5
0.933333,0.5
0.934066,0.5
0.934783,0.5
0.924731,0.583333
0.925532,0.583333
0.926316,0.583333
0.927083,0.583333
0.917526,0.666667
0.918367,0.666667
0.919192,0.666667
0.92,0.666667
0.920792,0.666667
0.921569,0.666667
0.912621,0.75
0.913462,0.75
0.904762,0.833333
0.90566,0.833333
0.906542,0.833333
0.898148,0.916667
0.889908,1
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
