Precision,Recall
0.978723,0.0833333
0.979167,0.0833333
0.979592,0.0833333
0.98,0.0833333
0.980392,0.0833333
0.980769,0.0833333
0.981132,0.0833333
0.981481,0.0833333
0.981818,0.0833333
0.982143,0.0833333
0.982456,0.0833333
0.982759,0.0833333
0.983051,0.0833333
0.983333,0.0833333
0.983607,0.0833333
0.983871,0.0833333
0.984127,0.0833333
0.984375,0.0833333
0.984615,0.0833333
0.969697,0.166667
0.970149,0.166667
0.955882,0.25
0.956522,0.25
0.957143,0.25
0.957746,0.25
0.944444,0.333333
0.945205,0.333333
0.945946,0.333333
0.946667,0.333333
0.934211,0.416667
0.935065,0.416667
0.935897,0.416667
0.936709,0.416667
0.9375,0.416667
0.925926,0.5
0.926829,0.5
0.927711,0.5
0.916667,0.583333
0.905882,0.666667
0.906977,0.666667
0.908046,0.666667
0.909091,0.666667
0.910112,0.666667
0.911111,0.666667
0.912088,0.666667
0.913043,0.666667
0.913978,0.666667
0.914894,0.666667
0.915789,0.666667
0.916667,0.666667
0.917526,0.666667
0.918367,0.666667
0.919192,0.666667
0.91,0.75
0.910891,0.75
0.911765,0.75
0.912621,0.75
0.913462,0.75
0.914286,0.75
0.915094,0.75
0.915888,0.75
0.916667,0.75
0.917431,0.75
0.918182,0.75
0.918919,0.75
0.910714,0.833333
0.911504,0.833333
0.912281,0.833333
0.913043,0.833333
0.913793,0.833333
0.905983,0.916667
0.90678,0.916667
0.89916,1
0.9,1
