Precision,Recall
0.5,0.0833333
0.666667,0.0833333
0.75,0.0833333
0.8,0.0833333
0.833333,0.0833333
0.857143,0.0833333
0.875,0.0833333
0.777778,0.166667
0.8,0.166667
0.818182,0.166667
0.833333,0.166667
0.846154,0.166667
0.857143,0.166667
0.866667,0.166667
0.875,0.166667
0.882353,0.166667
0.888889,0.166667
0.894737,0.166667
0.9,0.166667
0.904762,0.166667
0.909091,0.166667
0.913043,0.166667
0.916667,0.166667
0.92,0.166667
0.923077,0.166667
0.925926,0.166667
0.928571,0.166667
0.931034,0.166667
0.933333,0.166667
0.935484,0.166667
0.9375,0.166667
0.939394,0.166667
0.941176,0.166667
0.942857,0.166667
0.944444,0.166667
0.945946,0.166667
0.947368,0.166667
0.923077,0.25
0.9,0.333333
0.902439,0.333333
0.880952,0.416667
0.860465,0.5
0.863636,0.5
0.866667,0.5
0.869565,0.5
0.87234,0.5
0.875,0.5
0.877551,0.5
0.88,0.5
0.882353,0.5
0.884615,0.5
0.886792,0.5
0.888889,0.5
0.890909,0.5
0.892857,0.5
0.894737,0.5
0.896552,0.5
0.881356,0.583333
0.883333,0.583333
0.885246,0.583333
0.887097,0.583333
0.888889,0.583333
0.890625,0.583333
0.892308,0.583333
0.893939,0.583333
0.895522,0.583333
0.897059,0.583333
0.898551,0.583333
0.9,0.583333
0.901408,0.583333
0.902778,0.583333
0.90411,0.583333
0.905405,0.583333
0.906667,0.583333
0.907895,0.583333
0.909091,0.583333
0.910256,0.583333
0.911392,0.583333
0.9125,0.583333
0.91358,0.583333
0.914634,0.583333
0.915663,0.583333
0.916667,0.583333
0.917647,0.583333
0.918605,0.583333
0.91954,0.583333
0.920455,0.583333
0.921348,0.583333
0.922222,0.583333
0.923077,0.583333
0.923913,0.583333
0.924731,0.583333
0.925532,0.583333
0.926316,0.583333
0.927083,0.583333
0.927835,0.583333
0.928571,0.583333
0.929293,0.583333
0.92,0.666667
0.920792,0.666667
0.911765,0.75
0.912621,0.75
0.903846,0.833333
0.904762,0.833333
0.90566,0.833333
0.906542,0.833333
0.907407,0.833333
0.908257,0.833333
0.909091,0.833333
0.90991,0.833333
0.910714,0.833333
0.911504,0.833333
0.912281,0.833333
0.913043,0.833333
0.913793,0.833333
0.905983,0.916667
0.90678,0.916667
0.907563,0.916667
0.9,1
