Precision,Recall
0.5,0.0833333
0.666667,0.0833333
0.75,0.0833333
0.8,0.0833333
0.833333,0.0833333
0.857143,0.0833333
0.875,0.0833333
0.888889,0.0833333
0.9,0.0833333
0.909091,0.0833333
0.916667,0.0833333
0.923077,0.0833333
0.928571,0.0833333
0.933333,0.0833333
0.875,0.166667
0.882353,0.166667
0.888889,0.166667
0.894737,0.166667
0.85,0.25
0.857143,0.25
0.863636,0.25
0.869565,0.25
0.833333,0.333333
0.84,0.333333
0.846154,0.333333
0.851852,0.333333
0.857143,0.333333
0.862069,0.333333
0.866667,0.333333
0.870968,0.333333
0.875,0.333333
0.878788,0.333333
0.882353,0.333333
0.885714,0.333333
0.888889,0.333333
0.891892,0.333333
0.894737,0.333333
0.897436,0.333333
0.9,0.333333
0.902439,0.333333
0.904762,0.333333
0.906977,0.333333
0.909091,0.333333
0.911111,0.333333
0.913043,0.333333
0.914894,0.333333
0.916667,0.333333
0.918367,0.333333
0.92,0.333333
0.921569,0.333333
0.923077,0.333333
0.924528,0.333333
0.925926,0.333333
0.909091,0.416667
0.910714,0.416667
0.912281,0.416667
0.913793,0.416667
0.898305,0.5
0.9,0.5
0.901639,0.5
0.903226,0.5
0.904762,0.5
0.90625,0.5
0.907692,0.5
0.909091,0.5
0.895522,0.583333
0.897059,0.583333
0.884058,0.666667
0.885714,0.666667
0.887324,0.666667
0.888889,0.666667
0.890411,0.666667
0.891892,0.666667
0.893333,0.666667
0.894737,0.666667
0.896104,0.666667
0.897436,0.666667
0.898734,0.666667
0.9,0.666667
0.888889,0.75
0.890244,0.75
0.891566,0.75
0.892857,0.75
0.894118,0.75
0.895349,0.75
0.896552,0.75
0.897727,0.75
0.898876,0.75
0.888889,0.833333
0.89011,0.833333
0.891304,0.833333
0.88172,0.916667
0.882979,0.916667
0.884211,0.916667
0.885417,0.916667
0.886598,0.916667
0.887755,0.916667
0.888889,0.916667
0.89,0.916667
0.891089,0.916667
0.892157,0.916667
0.893204,0.916667
0.894231,0.916667
0.895238,0.916667
0.896226,0.916667
0.897196,0.916667
0.898148,0.916667
0.899083,0.916667
0.9,0.916667
0.900901,0.916667
0.901786,0.916667
0.902655,0.916667
0.903509,0.916667
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
