Precision,Recall
0.9,0.0833333
0.909091,0.0833333
0.916667,0.0833333
0.923077,0.0833333
0.928571,0.0833333
0.933333,0.0833333
0.9375,0.0833333
0.882353,0.166667
0.888889,0.166667
0.842105,0.25
0.85,0.25
0.857143,0.25
0.863636,0.25
0.869565,0.25
0.875,0.25
0.88,0.25
0.884615,0.25
0.888889,0.25
0.892857,0.25
0.896552,0.25
0.9,0.25
0.903226,0.25
0.90625,0.25
0.878788,0.333333
0.882353,0.333333
0.885714,0.333333
0.888889,0.333333
0.891892,0.333333
0.894737,0.333333
0.897436,0.333333
0.9,0.333333
0.902439,0.333333
0.880952,0.416667
0.883721,0.416667
0.886364,0.416667
0.866667,0.5
0.869565,0.5
0.87234,0.5
0.875,0.5
0.877551,0.5
0.88,0.5
0.882353,0.5
0.884615,0.5
0.886792,0.5
0.888889,0.5
0.890909,0.5
0.892857,0.5
0.894737,0.5
0.896552,0.5
0.898305,0.5
0.9,0.5
0.901639,0.5
0.903226,0.5
0.888889,0.583333
0.890625,0.583333
0.892308,0.583333
0.893939,0.583333
0.895522,0.583333
0.897059,0.583333
0.898551,0.583333
0.9,0.583333
0.901408,0.583333
0.902778,0.583333
0.90411,0.583333
0.905405,0.583333
0.906667,0.583333
0.907895,0.583333
0.909091,0.583333
0.897436,0.666667
0.898734,0.666667
0.9,0.666667
0.888889,0.75
0.890244,0.75
0.891566,0.75
0.892857,0.75
0.894118,0.75
0.895349,0.75
0.896552,0.75
0.897727,0.75
0.898876,0.75
0.9,0.75
0.901099,0.75
0.902174,0.75
0.903226,0.75
0.893617,0.833333
0.884211,0.916667
0.885417,0.916667
0.886598,0.916667
0.887755,0.916667
0.888889,0.916667
0.89,0.916667
0.891089,0.916667
0.892157,0.916667
0.893204,0.916667
0.894231,0.916667
0.895238,0.916667
0.896226,0.916667
0.897196,0.916667
0.898148,0.916667
0.899083,0.916667
0.9,0.916667
0.900901,0.916667
0.901786,0.916667
0.902655,0.916667
0.903509,0.916667
0.904348,0.916667
0.905172,0.916667
0.905983,0.916667
0.898305,1
0.89916,1
0.9,1
