Precision,Recall
0.97561,0.0833333
0.97619,0.0833333
0.976744,0.0833333
0.977273,0.0833333
0.977778,0.0833333
0.978261,0.0833333
0.978723,0.0833333
0.979167,0.0833333
0.979592,0.0833333
0.98,0.0833333
0.980392,0.0833333
0.980769,0.0833333
0.981132,0.0833333
0.981481,0.0833333
0.981818,0.0833333
0.982143,0.0833333
0.982456,0.0833333
0.965517,0.166667
0.966102,0.166667
0.966667,0.166667
0.967213,0.166667
0.967742,0.166667
0.968254,0.166667
0.96875,0.166667
0.969231,0.166667
0.969697,0.166667
0.970149,0.166667
0.970588,0.166667
0.956522,0.25
0.957143,0.25
0.957746,0.25
0.958333,0.25
0.958904,0.25
0.959459,0.25
0.946667,0.333333
0.947368,0.333333
0.935065,0.416667
0.923077,0.5
0.911392,0.583333
0.9,0.666667
0.888889,0.75
0.878049,0.833333
0.86747,0.916667
0.869048,0.916667
0.870588,0.916667
0.872093,0.916667
0.873563,0.916667
0.875,0.916667
0.865169,1
0.866667,1
0.868132,1
0.869565,1
0.870968,1
0.87234,1
0.873684,1
0.875,1
0.876289,1
0.877551,1
0.878788,1
0.88,1
0.881188,1
0.882353,1
0.883495,1
0.884615,1
0.885714,1
0.886792,1
0.88785,1
0.888889,1
0.889908,1
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
