Precision,Recall
0.666667,0.0833333
0.5,0.166667
0.6,0.166667
0.666667,0.166667
0.571429,0.25
0.625,0.25
0.666667,0.25
0.7,0.25
0.727273,0.25
0.75,0.25
0.692308,0.333333
0.642857,0.416667
0.666667,0.416667
0.625,0.5
0.647059,0.5
0.666667,0.5
0.684211,0.5
0.7,0.5
0.714286,0.5
0.727273,0.5
0.73913,0.5
0.708333,0.583333
0.72,0.583333
0.730769,0.583333
0.703704,0.666667
0.678571,0.75
0.689655,0.75
0.666667,0.833333
0.677419,0.833333
0.6875,0.833333
0.666667,0.916667
0.676471,0.916667
0.685714,0.916667
0.694444,0.916667
0.702703,0.916667
0.710526,0.916667
0.692308,1
0.7,1
0.707317,1
0.714286,1
0.72093,1
0.727273,1
0.733333,1
0.73913,1
0.744681,1
0.75,1
0.755102,1
0.76,1
0.764706,1
0.769231,1
0.773585,1
0.777778,1
0.781818,1
0.785714,1
0.789474,1
0.793103,1
0.79661,1
0.8,1
0.803279,1
0.806452,1
0.809524,1
0.8125,1
0.815385,1
0.818182,1
0.820896,1
0.823529,1
0.826087,1
0.828571,1
0.830986,1
0.833333,1
0.835616,1
0.837838,1
0.84,1
0.842105,1
0.844156,1
0.846154,1
0.848101,1
0.85,1
0.851852,1
0.853659,1
0.855422,1
0.857143,1
0.858824,1
0.860465,1
0.862069,1
0.863636,1
0.865169,1
0.866667,1
0.868132,1
0.869565,1
0.870968,1
0.87234,1
0.873684,1
0.875,1
0.876289,1
0.877551,1
0.878788,1
0.88,1
0.881188,1
0.882353,1
0.883495,1
0.884615,1
0.885714,1
0.886792,1
0.88785,1
0.888889,1
0.889908,1
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
