Precision,Recall
0.97619,0.0833333
0.976744,0.0833333
0.977273,0.0833333
0.977778,0.0833333
0.956522,0.166667
0.93617,0.25
0.9375,0.25
0.938776,0.25
0.94,0.25
0.921569,0.333333
0.923077,0.333333
0.924528,0.333333
0.925926,0.333333
0.927273,0.333333
0.928571,0.333333
0.929825,0.333333
0.913793,0.416667
0.915254,0.416667
0.916667,0.416667
0.901639,0.5
0.903226,0.5
0.904762,0.5
0.90625,0.5
0.907692,0.5
0.909091,0.5
0.910448,0.5
0.911765,0.5
0.913043,0.5
0.914286,0.5
0.901408,0.583333
0.888889,0.666667
0.890411,0.666667
0.891892,0.666667
0.88,0.75
0.868421,0.833333
0.857143,0.916667
0.858974,0.916667
0.860759,0.916667
0.85,1
0.851852,1
0.853659,1
0.855422,1
0.857143,1
0.858824,1
0.860465,1
0.862069,1
0.863636,1
0.865169,1
0.866667,1
0.868132,1
0.869565,1
0.870968,1
0.87234,1
0.873684,1
0.875,1
0.876289,1
0.877551,1
0.878788,1
0.88,1
0.881188,1
0.882353,1
0.883495,1
0.884615,1
0.885714,1
0.886792,1
0.88785,1
0.888889,1
0.889908,1
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
