Precision,Recall
0.923077,0.0833333
0.928571,0.0833333
0.933333,0.0833333
0.875,0.166667
0.823529,0.25
0.833333,0.25
0.842105,0.25
0.85,0.25
0.857143,0.25
0.863636,0.25
0.869565,0.25
0.875,0.25
0.88,0.25
0.884615,0.25
0.888889,0.25
0.857143,0.333333
0.862069,0.333333
0.866667,0.333333
0.870968,0.333333
0.875,0.333333
0.878788,0.333333
0.882353,0.333333
0.885714,0.333333
0.888889,0.333333
0.891892,0.333333
0.894737,0.333333
0.897436,0.333333
0.9,0.333333
0.902439,0.333333
0.904762,0.333333
0.906977,0.333333
0.909091,0.333333
0.888889,0.416667
0.869565,0.5
0.851064,0.583333
0.854167,0.583333
0.836735,0.666667
0.84,0.666667
0.823529,0.75
0.826923,0.75
0.830189,0.75
0.833333,0.75
0.836364,0.75
0.839286,0.75
0.842105,0.75
0.844828,0.75
0.847458,0.75
0.85,0.75
0.852459,0.75
0.854839,0.75
0.84127,0.833333
0.828125,0.916667
0.830769,0.916667
0.833333,0.916667
0.835821,0.916667
0.823529,1
0.826087,1
0.828571,1
0.830986,1
0.833333,1
0.835616,1
0.837838,1
0.84,1
0.842105,1
0.844156,1
0.846154,1
0.848101,1
0.85,1
0.851852,1
0.853659,1
0.855422,1
0.857143,1
0.858824,1
0.860465,1
0.862069,1
0.863636,1
0.865169,1
0.866667,1
0.868132,1
0.869565,1
0.870968,1
0.87234,1
0.873684,1
0.875,1
0.876289,1
0.877551,1
0.878788,1
0.88,1
0.881188,1
0.882353,1
0.883495,1
0.884615,1
0.885714,1
0.886792,1
0.88785,1
0.888889,1
0.889908,1
0.890909,1
0.891892,1
0.892857,1
0.893805,1
0.894737,1
0.895652,1
0.896552,1
0.897436,1
0.898305,1
0.89916,1
0.9,1
